1	6.3911e-20	6.3911e-20	0
2	6.57519e-20	6.48315e-20	9.20409e-22
3	6.82041e-20	6.59557e-20	1.24349e-21
4	7.15336e-20	6.73502e-20	1.64855e-21
5	6.37546e-20	6.6631e-20	1.46552e-21
6	6.33831e-20	6.60897e-20	1.31334e-21
7	7.43784e-20	6.72738e-20	1.623e-21
8	6.384e-20	6.68446e-20	1.46964e-21
9	8.38572e-20	6.87349e-20	2.29196e-21
10	7.21554e-20	6.90769e-20	2.07833e-21
11	5.97615e-20	6.82301e-20	2.06186e-21
12	6.01884e-20	6.75599e-20	1.99795e-21
13	7.14691e-20	6.78606e-20	1.86229e-21
14	6.22128e-20	6.74572e-20	1.77071e-21
15	5.00416e-20	6.62962e-20	2.01628e-21
16	7.40307e-20	6.67796e-20	1.94702e-21
17	7.04067e-20	6.6993e-20	1.84131e-21
18	5.55808e-20	6.63589e-20	1.84816e-21
19	8.67598e-20	6.74327e-20	2.05159e-21
20	6.41373e-20	6.72679e-20	1.95327e-21
21	7.2032e-20	6.74948e-20	1.87173e-21
22	6.96538e-20	6.75929e-20	1.78732e-21
23	6.37806e-20	6.74272e-20	1.71587e-21
24	7.11149e-20	6.75808e-20	1.64999e-21
25	6.87499e-20	6.76276e-20	1.58331e-21
26	6.05271e-20	6.73545e-20	1.54551e-21
27	6.82009e-20	6.73858e-20	1.4875e-21
28	6.83678e-20	6.74209e-20	1.43382e-21
29	7.16687e-20	6.75674e-20	1.39123e-21
30	7.5553e-20	6.78336e-20	1.37016e-21
31	7.59687e-20	6.8096e-20	1.35096e-21
32	7.00225e-20	6.81562e-20	1.30944e-21
33	7.10733e-20	6.82446e-20	1.27222e-21
34	7.13772e-20	6.83367e-20	1.23767e-21
35	5.82728e-20	6.80492e-20	1.2357e-21
36	7.45307e-20	6.82292e-20	1.21431e-21
37	6.79746e-20	6.82223e-20	1.18105e-21
38	6.44355e-20	6.81227e-20	1.15386e-21
39	6.58592e-20	6.80647e-20	1.12539e-21
40	6.71997e-20	6.8043e-20	1.0971e-21
