1	1	0	
2	1.41525	0.00410621	
3	1.73313	0.00560945	
4	1.99409	0.00680481	
5	2.22644	0.00839619	
6	2.43646	0.00886664	
7	2.63008	0.00999629	
8	2.81458	0.0111088	
9	2.99666	0.0127034	
10	3.17021	0.0129537	
11	3.32872	0.0137457	
12	3.47479	0.0141633	
13	3.61585	0.0154377	
14	3.75503	0.015038	
15	3.88904	0.0154386	
16	4.01681	0.0156457	
17	4.13045	0.0151048	
18	4.24579	0.0155165	
19	4.36715	0.0159529	
20	4.48462	0.0167362	
21	4.6021	0.0175768	
22	4.71425	0.0179333	
23	4.8176	0.0188235	
24	4.92427	0.0197272	
25	5.02339	0.0198867	
26	5.11933	0.0202318	
27	5.22111	0.020286	
28	5.31772	0.0210056	
29	5.40697	0.0211662	
30	5.48864	0.0217612	
31	5.57937	0.0215311	
32	5.66794	0.0219618	
33	5.75424	0.0225506	
34	5.83405	0.0222878	
35	5.93002	0.0233281	
36	6.0033	0.0230892	
37	6.0845	0.0227487	
38	6.16198	0.0241272	
39	6.24895	0.0236386	
40	6.33452	0.0240304	
41	6.41288	0.0239788	
42	6.48801	0.024358	
43	6.55962	0.0251166	
44	6.62947	0.0256549	
45	6.70687	0.026277	
46	6.77717	0.0260513	
47	6.85499	0.0253209	
48	6.93004	0.0256542	
49	7.00455	0.0256113	
50	7.06996	0.0260463	
51	7.14423	0.0268373	
52	7.21403	0.0274145	
53	7.27244	0.0283049	
54	7.34525	0.0289246	
55	7.40771	0.029575	
56	7.47774	0.030078	
57	7.54328	0.0292577	
58	7.60601	0.0293812	
59	7.67983	0.0299013	
60	7.75054	0.0312355	
61	7.81366	0.0316134	
62	7.87273	0.0323675	
63	7.93878	0.0326032	
64	8.00321	0.0328716	
65	8.06625	0.0321027	
66	8.12229	0.0328542	
67	8.17797	0.0327854	
68	8.24376	0.0329106	
69	8.31163	0.0338094	
70	8.37244	0.0342741	
71	8.42694	0.0348602	
72	8.48314	0.036182	
73	8.54151	0.0364875	
74	8.60437	0.0360407	
75	8.65644	0.0355956	
76	8.71307	0.0348847	
77	8.7736	0.0346823	
78	8.83356	0.0350058	
79	8.87626	0.0343288	
80	8.93434	0.0346327	
81	8.98384	0.0349201	
82	9.03952	0.0344614	
83	9.0946	0.034436	
84	9.15133	0.0345803	
85	9.20326	0.0354301	
86	9.2574	0.0351857	
87	9.30741	0.0351412	
88	9.36224	0.0358241	
89	9.42528	0.0364471	
90	9.48184	0.0376115	
91	9.53365	0.037946	
92	9.58412	0.0391411	
93	9.634	0.0396688	
94	9.68088	0.039587	
95	9.73254	0.03917	
96	9.79396	0.0393942	
97	9.84666	0.0395871	
98	9.89539	0.0406361	
99	9.95142	0.0408133	
100	9.99752	0.0403406	
