1	1	0	
2	1.41612	0.00402207	
3	1.73217	0.00568022	
4	1.99334	0.00751579	
5	2.23795	0.00875233	
6	2.44835	0.00960739	
7	2.6436	0.00981188	
8	2.82308	0.0106425	
9	2.98948	0.0107134	
10	3.15481	0.0116773	
11	3.3102	0.0123807	
12	3.44563	0.0133219	
13	3.58335	0.0142609	
14	3.71755	0.015163	
15	3.83927	0.0158676	
16	3.96686	0.0168419	
17	4.10083	0.0167054	
18	4.23285	0.0181267	
19	4.34341	0.0178093	
20	4.46309	0.0173741	
21	4.58017	0.0174555	
22	4.68909	0.0184427	
23	4.79871	0.0193763	
24	4.90041	0.0199035	
25	4.9981	0.0198859	
26	5.09294	0.0196221	
27	5.20277	0.0202533	
28	5.31018	0.0206715	
29	5.38984	0.0209782	
30	5.47911	0.0220058	
31	5.57745	0.0222054	
32	5.66329	0.0229043	
33	5.74535	0.0222461	
34	5.82544	0.0218265	
35	5.91569	0.0225953	
36	5.99663	0.0235629	
37	6.06801	0.0243812	
38	6.15269	0.0251133	
39	6.23465	0.0253107	
40	6.32332	0.0251873	
41	6.39722	0.0250174	
42	6.46934	0.0250875	
43	6.54795	0.0262263	
44	6.63735	0.0274874	
45	6.71809	0.0279587	
46	6.78584	0.0276585	
47	6.87639	0.0287661	
48	6.95045	0.0292288	
49	7.01285	0.0282438	
50	7.09343	0.0289779	
51	7.15693	0.028834	
52	7.22854	0.0294556	
53	7.29523	0.0295251	
54	7.34934	0.0303887	
55	7.41896	0.0312896	
56	7.48318	0.0315457	
57	7.54416	0.0323834	
58	7.60434	0.0331149	
59	7.66518	0.0335174	
60	7.73576	0.0350205	
61	7.79831	0.0351299	
62	7.8612	0.0361957	
63	7.92669	0.0361162	
64	7.98416	0.0372641	
65	8.0486	0.0373087	
66	8.10832	0.0360541	
67	8.16969	0.0360287	
68	8.23686	0.0371047	
69	8.29266	0.0377687	
70	8.34775	0.0387118	
71	8.41306	0.0393924	
72	8.47187	0.0387698	
73	8.53954	0.0387206	
74	8.59702	0.0387693	
75	8.65118	0.0399326	
76	8.71878	0.0406454	
77	8.7796	0.0423133	
78	8.83242	0.042067	
79	8.89562	0.0427695	
80	8.94706	0.042592	
81	8.99727	0.0431584	
82	9.0569	0.0443376	
83	9.11513	0.0441415	
84	9.1712	0.0447405	
85	9.21163	0.0440183	
86	9.25531	0.0437913	
87	9.31192	0.0449961	
88	9.36492	0.0440079	
89	9.41461	0.0446649	
90	9.46735	0.0455748	
91	9.5213	0.04592	
92	9.57365	0.0469299	
93	9.62446	0.0471954	
94	9.67147	0.0478467	
95	9.7258	0.0481493	
96	9.78013	0.0480307	
97	9.82936	0.0476483	
98	9.88021	0.0481647	
99	9.92963	0.0477857	
100	9.9835	0.0475514	
